0,39,39,503,198,524,228,a,OTHER
1,41,50,537,196,673,231,Employee's,OTHER
2,52,57,678,196,747,232,social,OTHER
3,59,66,751,196,845,232,security,OTHER
4,68,73,850,196,934,231,number,OTHER
5,133,137,1586,193,1653,228,"Safe,",OTHER
6,139,147,1659,196,1795,232,Accurate.,OTHER
7,177,181,2091,194,2148,228,Visit,OTHER
8,183,185,2153,195,2195,229,the,OTHER
9,187,189,2201,195,2252,230,IRS,OTHER
10,191,197,2257,193,2365,232,Website,OTHER
11,356,358,1832,218,1947,263,Rev,OTHER
12,360,363,1955,220,2046,263,file,OTHER
13,420,430,695,237,976,278,561-41-2712,ssnOfEmployee
14,470,472,1273,241,1325,272,OMB,OTHER
15,474,476,1330,242,1372,274,No.,OTHER
16,478,486,1377,239,1491,274,1545-0008,OTHER
17,497,501,1581,241,1676,275,FAST!,OTHER
18,503,504,1682,242,1722,278,Us,OTHER
19,541,542,2093,239,2117,275,at,OTHER
20,544,560,2123,240,2339,279,www.irs.gov/efile,OTHER
21,563,563,114,288,139,321,b,OTHER
22,565,572,147,289,248,321,Employer,OTHER
23,574,587,252,289,387,321,identification,OTHER
24,589,594,393,290,476,319,number,OTHER
25,596,600,482,289,535,317,(EIN),OTHER
26,680,685,1447,291,1531,323,"Wages,",OTHER
27,687,691,1536,293,1583,323,"tips,",OTHER
28,693,697,1588,292,1644,322,other,OTHER
29,699,710,1649,287,1807,322,compensation,OTHER
30,729,729,1943,283,1971,322,2,OTHER
31,731,737,2003,289,2084,324,Federal,OTHER
32,739,744,2090,291,2169,323,income,OTHER
33,746,748,2174,290,2208,320,tax,OTHER
34,750,757,2213,287,2302,319,withheld,OTHER
35,769,778,218,331,480,366,80-7005454,einEmployerIdentificationNumber
36,881,886,1480,328,1628,367,100610,box1WagesTipsAndOtherCompensations
37,888,888,1635,328,1655,367,.,box1WagesTipsAndOtherCompensations
38,890,891,1662,327,1710,367,78,box1WagesTipsAndOtherCompensations
39,927,931,1977,329,2102,367,11844,box2FederalIncomeTaxWithheld
40,933,933,2109,329,2126,368,.,box2FederalIncomeTaxWithheld
41,935,936,2133,329,2181,371,16,box2FederalIncomeTaxWithheld
42,939,939,119,381,142,414,c,OTHER
43,941,950,147,381,264,415,Employer's,OTHER
44,952,956,269,382,340,415,"name,",OTHER
45,958,965,346,382,438,415,"address,",OTHER
46,967,969,444,382,486,415,and,OTHER
47,971,973,492,382,528,414,ZIP,OTHER
48,975,978,534,381,595,414,code,OTHER
49,1058,1063,1450,383,1516,413,Social,OTHER
50,1065,1072,1520,382,1603,413,security,OTHER
51,1074,1078,1608,380,1677,413,wages,OTHER
52,1110,1115,2004,382,2070,413,Social,OTHER
53,1117,1124,2075,383,2157,413,security,OTHER
54,1126,1128,2163,382,2195,411,tax,OTHER
55,1130,1137,2201,379,2288,410,withheld,OTHER
56,1149,1162,222,426,585,466,Brown-Matthews,employerName
57,1164,1166,611,428,682,465,Inc,employerName
58,1262,1267,1477,427,1628,464,124328,box3SocialSecurityWages
59,1269,1269,1635,428,1651,465,.,box3SocialSecurityWages
60,1271,1272,1658,429,1697,467,64,box3SocialSecurityWages
61,1310,1313,1976,425,2079,463,9511,box4SocialSecurityTaxWithheld
62,1315,1315,2085,428,2102,464,.,box4SocialSecurityTaxWithheld
63,1317,1318,2108,429,2154,468,14,box4SocialSecurityTaxWithheld
64,1330,1332,220,486,297,523,691,employerAddressStreet_name
65,1334,1338,329,486,452,523,James,employerAddressStreet_name
66,1340,1346,478,484,661,523,Squares,employerAddressStreet_name
67,1348,1351,685,482,793,523,Apt.,employerAddressStreet_name
68,1353,1355,818,481,892,523,744,employerAddressStreet_name
69,1440,1447,1448,471,1547,503,Medicare,OTHER
70,1449,1453,1553,473,1625,503,wages,OTHER
71,1455,1457,1631,472,1670,503,and,OTHER
72,1459,1462,1676,471,1722,502,tips,OTHER
73,1488,1488,1944,473,1967,505,6,OTHER
74,1490,1497,2002,472,2103,501,Medicare,OTHER
75,1499,1501,2108,473,2143,502,tax,OTHER
76,1503,1510,2148,473,2236,505,withheld,OTHER
77,1634,1638,1474,512,1603,549,97949,OTHER
78,1640,1640,1609,512,1629,549,.,OTHER
79,1642,1643,1635,512,1679,550,11,OTHER
80,1693,1696,2098,514,2198,554,2840,OTHER
81,1698,1698,2205,514,2224,550,.,OTHER
82,1700,1701,2228,515,2267,552,52,OTHER
83,1712,1720,215,545,453,586,Grayshire,employerAddressCity
84,1722,1723,473,546,535,585,MI,employerAddressState
85,1725,1734,558,540,820,585,58301-4783,employerAddressZip
86,1823,1828,1449,558,1514,595,Social,OTHER
87,1830,1837,1521,560,1602,595,security,OTHER
88,1839,1842,1609,559,1660,595,tips,OTHER
89,1871,1871,1944,556,1964,585,8,OTHER
90,1872,1880,2005,557,2103,591,Allocated,OTHER
91,1882,1885,2109,558,2147,591,tips,OTHER
92,2009,2014,1476,606,1628,642,124328,OTHER
93,2016,2016,1635,607,1655,642,.,OTHER
94,2018,2019,1659,607,1705,643,64,OTHER
95,2068,2072,2097,609,2223,641,97949,OTHER
96,2074,2074,2232,609,2252,642,.,OTHER
97,2076,2077,2257,609,2298,643,11,OTHER
98,2080,2080,120,647,142,681,d,OTHER
99,2082,2088,149,647,225,681,Control,OTHER
100,2090,2095,231,646,321,681,number,OTHER
101,2246,2247,1934,650,1957,670,10,OTHER
102,2249,2257,2003,650,2123,679,Dependent,OTHER
103,2259,2262,2128,650,2176,679,care,OTHER
104,2264,2271,2180,650,2268,679,benefits,OTHER
105,2282,2283,220,694,261,729,9!,OTHER
106,2455,2457,2098,696,2168,733,119,OTHER
107,2460,2460,116,740,138,770,e,OTHER
108,2462,2471,148,740,270,769,Employee's,OTHER
109,2473,2477,276,740,322,767,first,OTHER
110,2506,2509,625,745,675,769,Last,OTHER
111,2511,2514,678,742,742,769,name,OTHER
112,2565,2569,1300,740,1361,769,Suff.,OTHER
113,2571,2572,1379,740,1412,768,11,OTHER
114,2574,2585,1448,742,1583,771,Nonqualified,OTHER
115,2587,2591,1588,743,1649,771,plans,OTHER
116,2626,2628,1935,745,1972,770,12a,OTHER
117,2636,2647,2055,744,2196,770,instructions,OTHER
118,2649,2651,2200,743,2233,770,for,OTHER
119,2653,2655,2236,741,2283,769,box,OTHER
120,2657,2658,2289,740,2317,769,12,OTHER
121,2783,2785,1477,802,1545,832,182,OTHER
122,2844,2847,2100,797,2194,833,4843,OTHER
123,2859,2864,217,828,397,870,Robert,employeeName
124,2866,2873,420,830,649,870,Oconnell,employeeName
125,3015,3017,1934,833,1971,871,126,OTHER
126,3133,3134,1379,847,1410,875,13,OTHER
127,3136,3144,1414,849,1502,875,Statutory,OTHER
128,3146,3155,1581,849,1671,876,Retirement,OTHER
129,3167,3174,1767,853,1834,873,ird-part,OTHER
130,3292,3299,1414,879,1497,906,employee,OTHER
131,3303,3306,1580,883,1622,908,plan,OTHER
132,3323,3326,1749,881,1781,908,sick,OTHER
133,3328,3330,1785,879,1827,907,pay,OTHER
134,3342,3346,221,907,367,952,16291,OTHER
135,3348,3358,392,909,713,953,Christopher,ssnOfEmployee
136,3360,3364,741,909,890,953,Fords,OTHER
137,3366,3369,914,907,1040,953,Apt.,OTHER
138,3371,3373,1064,905,1150,953,639,OTHER
139,3516,3518,2099,916,2165,947,854,OTHER
140,3529,3532,214,974,340,1022,East,OTHER
141,3534,3540,361,974,574,1021,Crystal,OTHER
142,3542,3543,595,976,655,1023,VA,OTHER
143,3580,3589,773,977,1046,1020,18268-6668,OTHER
144,3633,3634,1378,964,1408,992,14,OTHER
145,3636,3640,1449,963,1510,992,Other,OTHER
146,3815,3816,2002,1028,2048,1057,BB,OTHER
147,3818,3820,2097,1025,2166,1061,915,OTHER
148,3988,3989,1936,1064,1965,1095,12,OTHER
149,4165,4165,2015,1133,2034,1162,V,OTHER
150,4167,4170,2079,1133,2166,1170,1566,OTHER
151,4172,4172,115,1190,137,1223,1,OTHER
152,4174,4183,149,1189,273,1223,Employee's,OTHER
153,4185,4191,278,1189,365,1220,address,OTHER
154,4193,4195,370,1189,413,1218,and,OTHER
155,4197,4199,417,1189,453,1217,ZIP,OTHER
156,4201,4204,458,1189,522,1217,code,OTHER
157,4206,4207,110,1212,136,1244,15,OTHER
158,4209,4213,149,1209,213,1244,State,OTHER
159,4215,4224,260,1218,379,1249,Employer's,OTHER
160,4226,4230,384,1217,438,1248,state,OTHER
161,4232,4233,443,1216,468,1248,ID,OTHER
162,4235,4240,473,1215,562,1251,number,OTHER
163,4265,4266,757,1212,791,1249,16,OTHER
164,4268,4272,797,1213,850,1250,State,OTHER
165,4274,4279,857,1215,933,1250,"wages,",OTHER
166,4281,4285,940,1215,983,1250,"tips,",OTHER
167,4287,4290,990,1214,1041,1250,etc.,OTHER
168,4297,4298,1122,1212,1154,1249,17,OTHER
169,4300,4304,1161,1213,1214,1249,State,OTHER
170,4306,4311,1221,1214,1300,1249,income,OTHER
171,4313,4315,1306,1216,1348,1249,tax,OTHER
172,4327,4328,1475,1209,1507,1250,18,OTHER
173,4330,4334,1515,1212,1571,1250,Local,OTHER
174,4336,4341,1579,1215,1654,1250,"wages,",OTHER
175,4343,4347,1662,1218,1704,1249,"tips,",OTHER
176,4349,4352,1712,1217,1758,1249,etc.,OTHER
177,4368,4369,1864,1215,1897,1250,19,OTHER
178,4371,4375,1902,1215,1962,1249,Local,OTHER
179,4377,4382,1967,1216,2044,1250,income,OTHER
180,4384,4386,2050,1220,2087,1251,tax,OTHER
181,4397,4398,2221,1220,2252,1249,20,OTHER
182,4400,4407,2259,1220,2342,1249,Locality,OTHER
183,4409,4412,2347,1219,2412,1248,name,OTHER
184,4415,4416,129,1264,180,1303,FL,OTHER
185,4436,4445,352,1259,612,1302,071-80-066,OTHER
186,4473,4478,756,1259,903,1299,48910.,box16StateWagesTips
187,4480,4481,910,1259,963,1297,64,box16StateWagesTips
188,4506,4509,1123,1260,1221,1299,4529,box17StateIncomeTax
189,4511,4511,1227,1260,1244,1299,.,box17StateIncomeTax
190,4513,4514,1250,1260,1298,1299,96,box17StateIncomeTax
191,4536,4541,1476,1260,1627,1299,80336.,OTHER
192,4543,4544,1633,1261,1680,1297,14,OTHER
193,4575,4579,1864,1259,1989,1301,17848,OTHER
194,4581,4581,1997,1259,2016,1302,.,OTHER
195,4583,4584,2024,1260,2070,1304,73,OTHER
196,4606,4614,2224,1270,2367,1300,Gwendolyn,OTHER
197,4616,4616,2381,1270,2394,1300,F,OTHER
198,4621,4622,130,1346,182,1384,CT,OTHER
199,4641,4650,350,1350,601,1389,920-40-919,OTHER
200,4675,4680,755,1349,906,1390,48224.,OTHER
201,4682,4683,913,1349,961,1389,47,OTHER
202,4709,4713,1120,1345,1247,1390,4825.,OTHER
203,4715,4716,1253,1344,1305,1390,37,OTHER
